Round,Exploration,ActionCount
1,0,1
1,0,2
1,0,3
1,0,4
1,0,5
1,0,6
1,1,7
1,1,8
1,1,9
1,0,10
1,0,11
1,1,12
1,1,13
1,0,14
1,0,15
1,0,16
1,0,17
1,0,18
1,0,19
1,0,20
1,0,21
1,0,22
1,0,23
1,0,24
1,0,25
1,1,26
1,1,27
1,0,28
1,1,29
1,1,30
1,0,31
1,0,32
1,1,33
1,0,34
1,0,35
1,0,36
1,0,37
1,0,38
1,0,39
1,0,40
1,0,41
1,0,42
1,1,43
1,0,44
1,0,45
1,0,46
1,0,47
1,1,48
1,1,49
1,1,50
1,0,51
1,0,52
1,0,53
1,1,54
1,0,55
1,0,56
1,0,57
1,0,58
1,0,59
1,0,60
1,0,61
1,0,62
1,1,63
1,0,64
1,0,65
1,0,66
1,1,67
1,1,68
1,0,69
1,1,70
1,0,71
1,0,72
1,0,73
1,0,74
1,1,75
1,0,76
1,0,77
1,0,78
1,0,79
1,1,80
1,0,81
1,0,82
1,0,83
1,0,84
1,0,85
1,1,86
1,0,87
2,0,1
2,1,2
2,1,3
2,0,4
2,0,5
2,1,6
2,0,7
2,1,8
2,0,9
2,1,10
2,0,11
2,0,12
2,0,13
2,0,14
2,1,15
2,0,16
2,0,17
2,0,18
2,1,19
2,0,20
2,1,21
2,0,22
2,0,23
2,0,24
2,0,25
2,1,26
2,1,27
2,1,28
2,0,29
2,0,30
2,1,31
2,0,32
2,0,33
2,0,34
2,1,35
2,0,36
2,0,37
2,0,38
2,0,39
2,0,40
2,0,41
2,0,42
2,0,43
2,0,44
2,0,45
2,0,46
2,0,47
2,0,48
2,0,49
2,0,50
2,0,51
2,1,52
2,0,53
2,0,54
2,0,55
2,0,56
2,0,57
2,0,58
2,0,59
2,0,60
2,0,61
2,0,62
2,0,63
2,0,64
2,0,65
2,1,66
2,0,67
2,0,68
2,0,69
2,0,70
2,1,71
2,0,72
2,0,73
2,1,74
2,1,75
2,0,76
2,0,77
2,0,78
2,0,79
2,0,80
2,1,81
2,1,82
2,0,83
2,1,84
2,0,85
2,0,86
2,0,87
2,0,88
2,1,89
